CUIs,clinvar_trait
C4310767,"cerebral palsy, spastic quadriplegic, 3"
C4310772,"neurodevelopmental disorder with or without anomalies of the brain, eye, or heart"
C4310776,retinitis pigmentosa and erythrocytic microcytosis
C4310788,coffin-siris syndrome 5
C4310801,"developmental delay with short stature, dysmorphic facial features, and sparse hair"
C4310819,immunodeficiency 47
C4310833,dias-logan syndrome
C4318484,skin rash
C4321528,pruritus
C4477100,spermatogenesis maturation arrest
C4478372,"ciliary dyskinesia, primary, 36, x-linked"
C4478383,"intellectual disability, x-linked, syndromic, 35"
C4478716,noonan syndrome-like disorder with loose anagen hair 1
C4479229,hyperparathyroidism 4
C4479250,congenital heart defects and ectodermal dysplasia
C4479260,"avascular necrosis of femoral head, primary, 2"
C4479333,"neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination"
C4479357,anauxetic dysplasia 2
C4479410,congenital muscular dystrophy with cataracts and intellectual disability
C4479452,immunoskeletal dysplasia with neurodevelopmental abnormalities
C4479476,"intellectual disability, autosomal recessive 60"
C4479496,craniosynostosis 7
C4479515,"bleeding disorder, platelet-type, 21"
C4479520,"intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies"
C4479526,retinitis pigmentosa 79
C4479549,structural heart defects and renal anomalies syndrome
C4479566,"neurodevelopmental disorder with microcephaly, hypotonia, and variable brain anomalies"
C4479569,neurodevelopmental disorder with involuntary movements
C4479577,noonan syndrome-like disorder with loose anagen hair 2
C4479603,"neurodevelopmental disorder with hypotonia, neuropathy, and deafness"
C4479608,"microcephaly 18, primary, autosomal dominant"
C4479619,erythrokeratodermia variabilis et progressiva 3
C4479631,"neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies"
C4479651,retinal dystrophy with or without macular staphyloma
C4479652,gabriele de vries syndrome
C4479653,"spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy"
C4479654,cohen-gibson syndrome
C4509855,mendelian susceptibility to mycobacterial diseases due to partial stat1 deficiency
C4510380,metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome
C4510567,hypotonia with lactic acidemia and hyperammonemia
C4510742,autosomal recessive limb-girdle muscular dystrophy type 2o
C4510744,"46,xy partial gonadal dysgenesis"
C4510940,3-hydroxy-3-methylglutaryl-coa synthase deficiency
C4510943,aica-ribosiduria
C4510944,combined immunodeficiency due to partial rag1 deficiency
C4511089,autosomal recessive ataxia due to ubiquinone deficiency
C4511482,autosomal recessive limb-girdle muscular dystrophy type 2y
C4511965,autosomal recessive limb-girdle muscular dystrophy type 2l
C4511966,autosomal recessive limb-girdle muscular dystrophy type 2n
C4518080,autism spectrum disorder - epilepsy - arthrogryposis syndrome
C4518338,wolfram-like syndrome
C4518774,joubert syndrome with jeune asphyxiating thoracic dystrophy
C4518807,distal myopathy with posterior leg and anterior hand involvement
C4518824,distal 16p11.2 microdeletion syndrome
C4518839,combined oxidative phosphorylation defect type 8
C4538407,"ehlers-danlos syndrome, classic type, 2"
C4538630,diencephalic-mesencephalic junction dysplasia syndrome 1
C4539685,"pituitary adenoma 5, multiple types"
C4539754,"ichthyosis, congenital, autosomal recessive 14"
C4539772,"ichthyosis, congenital, autosomal recessive 13"
C4539783,spermatogenic failure 18
C4539798,"ciliary dyskinesia, primary, 37"
C4539857,congenital heart defects and skeletal malformations syndrome
C4539919,multiple mitochondrial dysfunctions syndrome 5
C4539937,joubert syndrome 30
C4539968,"congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay"
C4539976,"polydactyly, postaxial, type a7"
C4539985,"cerebellar atrophy, developmental delay, and seizures"
C4540029,combined oxidative phosphorylation deficiency 32
C4540031,combined oxidative phosphorylation deficiency
C4540036,fraser syndrome 2
C4540052,"encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities"
C4540131,pilarowski-bjornsson syndrome
C4540135,"pituitary adenoma 3, multiple types"
C4540192,"neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures"
C4540199,"epileptic encephalopathy, infantile or early childhood, 1"
C4540266,galloway-mowat syndrome 3
C4540270,galloway-mowat syndrome 4
C4540284,oocyte maturation defect 4
C4540299,sweeney-cox syndrome
C4540327,neurodevelopmental disorder with dysmorphic facies and distal limb anomalies
C4540389,joubert syndrome 33
C4540395,kleefstra syndrome 2
C4540434,combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia
C4540439,retinitis pigmentosa 80
C4540493,"neurodevelopmental disorder with microcephaly, seizures, and cortical atrophy"
C4540496,neurodevelopmental disorder with severe motor impairment and absent language
C4540497,renal hypodysplasia/aplasia 3
C4540498,"neurodevelopmental disorder with ataxic gait, absent speech, and decreased cortical white matter"
C4540511,geleophysic dysplasia 3
C4540520,glycosylphosphatidylinositol biosynthesis defect 15
C4540521,glycosylphosphatidylinositol biosynthesis defect 16
C4540575,polycystic kidney disease 4
C4544791,pik3ca related overgrowth syndrome
C4551478,neu-laxova syndrome 1
C4551480,fraser syndrome 1
C4551484,leopard syndrome 1
C4551503,fanconi renotubular syndrome 1
C4551556,specific granule deficiency 1
C4551557,immunodeficiency-centromeric instability-facial anomalies syndrome 1
C4551558,"fibromatosis, gingival, 1"
C4551562,"avascular necrosis of femoral head, primary, 1"
C4551564,narrow nasal bridge
C4551568,joubert syndrome 1
C4551572,"myofibromatosis, infantile, 1"
C4551573,uncombable hair syndrome 1
C4551679,"hypertrophic osteoarthropathy, primary, autosomal recessive, 1"
C4551693,wolfram syndrome 1
C4551702,branchiootorenal syndrome 1
C4551721,perrault syndrome 1
C4551768,"cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1"
C4551772,galloway-mowat syndrome 1
C4551773,zimmermann-laband syndrome 1
C4551804,brugada syndrome 1
C4551854,hypoplastic left heart syndrome 1
C4551864,van der woude syndrome 1
C4551884,"choroidal dystrophy, central areolar, 1"
C4551954,hyperekplexia 1
C4551955,loeys-dietz syndrome 1
C4551957,"epilepsy, familial temporal lobe, 1"
C4551958,"myopathy, lactic acidosis, and sideroblastic anemia 1"
C4551962,"acne inversa, familial, 1"
C4551964,"gaze palsy, familial horizontal, with progressive scoliosis 1"
C4551974,"dyskeratosis congenita, autosomal dominant 1"
C4551980,heimler syndrome 1
C4551983,"epilepsy, familial focal, with variable foci 1"
C4551985,"arterial calcification, generalized, of infancy, 1"
C4551996,auriculocondylar syndrome 1
C4551999,patterned macular dystrophy 1
C4552029,cerebroretinal microangiopathy with calcifications and cysts 1
C4552049,"palmoplantar keratoderma, nonepidermolytic, focal 1"
C4552070,"pulmonary hypertension, primary, 1"
C4552092,dowling-degos disease 1
C4552122,"ehlers-danlos syndrome, classic type, 1"
C4554132,pain
C4692546,"protoporphyria, erythropoietic, 1"
C4692564,"tumoral calcinosis, hyperphosphatemic, familial, 1"
C4693325,"neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal recessive"
C4693362,"epileptic encephalopathy, infantile or early childhood, 2"
C4693376,developmental delay and seizures with or without movement abnormalities
C4693391,neurodevelopmental disorder with or without seizures and gait abnormalities
C4693420,short-rib thoracic dysplasia 18 with polydactyly
C4693466,combined oxidative phosphorylation deficiency 35
C4693472,polycystic liver disease 3 with or without kidney cysts
C4693479,polycystic liver disease 4 with or without kidney cysts
C4693498,leber congenital amaurosis with early-onset deafness
C4693509,"charcot-marie-tooth disease, dominant intermediate g"
C4693524,short-rib thoracic dysplasia 19 with or without polydactyly
C4693531,multiple synostoses syndrome 4
C4693535,"leukodystrophy, hypomyelinating, 14"
C4693546,neurodevelopmental disorder with poor language and loss of hand skills
C4693567,"neurodevelopmental disorder with microcephaly, cataracts, and renal abnormalities"
C4693616,short-rib thoracic dysplasia 20 with polydactyly
C4693672,spinocerebellar ataxia 47
C4693694,"epilepsy, familial focal, with variable foci 4"
C4693704,shwachman-diamond syndrome 2
C4693722,combined oxidative phosphorylation deficiency 36
C4693779,"leukodystrophy, hypomyelinating, 16"
C4693798,"methemoglobinemia, alpha type"
C4693799,"spondyloepimetaphyseal dysplasia, di rocco type"
C4693822,"erythrocytosis, familial, 6"
C4693823,"erythrocytosis, familial, 7"
C4693824,ververi-brady syndrome
C4693863,"tumoral calcinosis, hyperphosphatemic, familial, 2"
C4693864,"tumoral calcinosis, hyperphosphatemic, familial, 3"
C4693912,"leukodystrophy, hypomyelinating, 17"
C4693934,"epileptic encephalopathy, infantile or early childhood, 3"
C4693947,"protoporphyria, erythropoietic, 2"
C4706283,combined oxidative phosphorylation defect type 13
C4706313,combined oxidative phosphorylation defect type 15
C4706316,combined oxidative phosphorylation defect type 21
C4706410,fetal akinesia-cerebral and retinal hemorrhage syndrome
C4706421,leukoencephalopathy-thalamus and brainstem anomalies-high lactate syndrome
C4706573,macrocephaly-developmental delay syndrome
C4706575,"larsen-like syndrome, b3gat3 type"
C4706613,shox-related short stature
C4706676,leukoencephalopathy-ataxia-hypodontia-hypomyelination syndrome
C4707239,hepatoencephalopathy due to combined oxidative phosphorylation defect type 1
C4707243,familial thoracic aortic aneurysm and aortic dissection
C4707827,x-linked distal spinal muscular atrophy type 3
C4707861,combined oxidative phosphorylation defect type 4
C4707897,severe early-onset axonal neuropathy due to mfn2 deficiency
C4721541,peroxisome biogenesis disorder 1a (zellweger)
C4721887,charcot-marie-tooth disease type 2a2
C4722273,"isolated growth hormone deficiency, type 4"
C4723746,peroxisome biogenesis disorder 1b
C4727892,gatad2a-associated neurodevelopmental disorder
C4732808,reduced serum alpha-1-antitrypsin
C4746575,"erythroleukemia, familial, susceptibility to"
C4746844,extra oral halitosis
C4746985,"mitochondrial complex 1 deficiency, nuclear type 30"
C4747850,proteasome-associated autoinflammatory syndrome 3
C4747885,"hydrocephalus, congenital, 3, with brain anomalies"
C4747891,glycosylphosphatidylinositol biosynthesis defect 17
C4747954,coffin-siris syndrome 7
C4747974,"charcot-marie-tooth disease, axonal, type 2dd"
C4748032,neurodevelopmental disorder with cerebellar atrophy and with or without seizures
C4748041,intellectual developmental disorder with or without epilepsy or cerebellar ataxia
C4748044,polycystic kidney disease 6 with or without polycystic liver disease
C4748120,"spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits"
C4748135,intellectual developmental disorder with dysmorphic facies and behavioral abnormalities
C4748152,"intellectual developmental disorder with speech delay, dysmorphic facies, and t-cell abnormalities"
C4748158,spinocerebellar ataxia 48
C4748192,"intellectual disability, autosomal recessive 64"
C4748263,ovarian dysgenesis 7
C4748292,liddle syndrome 3
C4748327,"muscular dystrophy, limb-girdle, autosomal recessive 23"
C4748357,glycosylphosphatidylinositol biosynthesis defect 18
C4748428,"intellectual developmental disorder with macrocephaly, seizures, and speech delay"
C4748484,"cardiac, facial, and digital anomalies with developmental delay"
C4748488,bone marrow failure syndrome 5
C4748527,"neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures"
C4748545,"nephrotic syndrome, type 17"
C4748549,"nephrotic syndrome, type 18"
C4748602,periventricular nodular heterotopia 8
C4748608,"neuropathy, congenital hypomyelinating, 3"
C4748657,polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 2
C4748670,capillary malformation-arteriovenous malformation 2
C4748678,"myasthenic syndrome, congenital, 23, presynaptic"
C4748694,immunodeficiency 15a
C4748708,"inflammatory bowel disease, immunodeficiency, and encephalopathy"
C4748725,retinitis pigmentosa 84
C4748732,"intellectual disability, autosomal recessive 66"
C4748737,"mitochondrial complex 1 deficiency, nuclear type 2"
C4748741,vertebral anomalies and variable endocrine and t-cell dysfunction
C4748752,"mitochondrial complex 1 deficiency, nuclear type 3"
C4748753,"mitochondrial complex 1 deficiency, nuclear type 4"
C4748759,"mitochondrial complex 1 deficiency, nuclear type 6"
C4748760,"mitochondrial complex 1 deficiency, nuclear type 7"
C4748766,"mitochondrial complex 1 deficiency, nuclear type 8"
C4748785,"mitochondrial complex 1 deficiency, nuclear type 16"
C4748790,"mitochondrial complex 1 deficiency, nuclear type 18"
C4748791,"mitochondrial complex 1 deficiency, nuclear type 19"
C4748796,"mitochondrial complex 1 deficiency, nuclear type 22"
C4748806,"mitochondrial complex 1 deficiency, nuclear type 25"
C4748826,"mitochondrial complex 1 deficiency, nuclear type 27"
C4748830,"mitochondrial complex 1 deficiency, nuclear type 29"
C4748872,"arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development"
C4748927,mega-corpus-callosum syndrome with cerebellar hypoplasia and cortical malformations
C4748930,hypotrichosis 14
C4748934,"neurodegeneration, childhood-onset, with cerebellar atrophy"
C4748939,"fibrosis, neurodegeneration, and cerebral angiomatosis"
C4748940,"charcot-marie-tooth disease, demyelinating, type 1g"
C4748946,cardiac-urogenital syndrome
C4748969,"hyper-ige recurrent infection syndrome 3, autosomal recessive"
C4748993,"macrocephaly, acquired, with impaired intellectual development"
C4749003,"spinal muscular atrophy, lower extremity-predominant, 2b, prenatal onset, autosomal dominant"
C4749019,"intellectual developmental disorder, autosomal recessive 67"
C4749301,lissencephaly due to lis1 mutation
C4749334,retinal macular dystrophy type 2
C4749403,vasculitis due to ada2 deficiency
C4749432,infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly
C4749505,developmental delay with autism spectrum disorder and gait instability
C4749821,severe neonatal-onset encephalopathy with microcephaly
C4749907,lamb2-related infantile-onset nephrotic syndrome
C4749914,optic nerve edema-splenomegaly syndrome
C4749918,young adult-onset distal hereditary motor neuropathy
C4749921,mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to mto1 deficiency
C4749945,autism spectrum disorder due to auts2 deficiency
C4749946,infantile hypertrophic cardiomyopathy due to mrpl44 deficiency
C4749948,facial dysmorphism-immunodeficiency-livedo-short stature syndrome
C4749949,severe combined immunodeficiency due to card11 deficiency
C4750955,intellectual disability-feeding difficulties-developmental delay-microcephaly syndrome
C4751076,porencephaly-microcephaly-bilateral congenital cataract syndrome
C4751111,progeroid and marfanoid aspect-lipodystrophy syndrome
C4751130,hypoplastic pancreas-intestinal atresia-hypoplastic gallbalder syndrome
C4751138,childhood encephalopathy due to thiamine pyrophosphokinase deficiency
C4751233,autosomal recessive non-syndromic intellectual disability
C4751567,polyglucosan body myopathy type 1
C4755250,combined oxidative phosphorylation defect type 17
C4755251,congenital neutropenia-myelofibrosis-nephromegaly syndrome
C4755254,hypomyelination with brain stem and spinal cord involvement and leg spasticity
C4755261,fgfr2-related bent bone dysplasia
C4755312,combined oxidative phosphorylation defect type 14
C4755314,autosomal recessive cutis laxa type 2b
C4763519,polg-related spectrum disorders
C5139058,abnormal circulating carbohydrate concentration
C5190575,pontocerebellar hypoplasia type 10
C5190576,severe intellectual disability-progressive spastic diplegia syndrome
C5190582,intellectual disability-facial dysmorphism syndrome due to setd5 haploinsufficiency
C5190588,lipoyl transferase 1 deficiency
C5190600,x-linked dyserythropoetic anemia with abnormal platelets and neutropenia
C5190603,congenital muscular dystrophy with intellectual disability and severe epilepsy
C5190801,autosomal recessive severe congenital neutropenia due to g6pc3 deficiency
C5190806,progressive myoclonic epilepsy type 3
C5190810,"46,xy gonadal dysgenesis-motor and sensory neuropathy syndrome"
C5190825,progressive myoclonic epilepsy type 8
C5190826,pancytopenia due to ikzf1 mutations
C5190850,combined oxidative phosphorylation defect type 20
C5190863,autosomal recessive severe congenital neutropenia due to csf3r deficiency
C5190882,primary immunodeficiency with post-measles-mumps-rubella vaccine viral infection
C5190991,combined oxidative phosphorylation defect type 11
C5191003,familial steroid-resistant nephrotic syndrome with sensorineural deafness
C5191007,lower motor neuron syndrome with late-adult onset
C5191083,retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations
C5191308,amyotrophic lateral sclerosis type 4
C5191417,autosomal recessive spinocerebellar ataxia 7
C5191418,autosomal recessive spinocerebellar ataxia 10
C5191640,obesity due to congenital leptin deficiency
C5192431,med13l-related neurodevelopmental disorder
C5192959,mitochondrial dna deletion syndrome with progressive myopathy
C5193009,"intellectual developmental disorder, x-linked 108"
C5193011,"nephrotic syndrome, type 20"
C5193014,distal arthrogryposis type 2b1
C5193025,"basal ganglia calcification, idiopathic, 7, autosomal recessive"
C5193032,global developmental delay with or without impaired intellectual development
C5193033,"encephalopathy, progressive, early-onset, with episodic rhabdomyolysis"
C5193034,menke-hennekam syndrome 1
C5193035,menke-hennekam syndrome 2
C5193040,polymicrogyria with or without vascular-type ehlers-danlos syndrome
C5193042,"microcephaly, growth deficiency, seizures, and brain malformations"
C5193044,galloway-mowat syndrome 7
C5193048,neurodevelopmental disorder and language delay with or without structural brain abnormalities
C5193054,coffin-siris syndrome 8
C5193060,turnpenny-fry syndrome
C5193066,"facial dysmorphism, hypertrichosis, epilepsy, intellectual/developmental delay, and gingival overgrowth syndrome"
C5193071,"spondyloepiphyseal dysplasia, kondo-fu type"
C5193076,"charcot-marie-tooth disease, axonal, type 2ee"
C5193078,"leukodystrophy, hypomyelinating, 18"
C5193083,"metabolic crises, recurrent, with variable encephalomyopathic features and neurologic regression"
C5193084,"spastic paraplegia 80, autosomal dominant"
C5193085,"gonadal dysgenesis, dysmorphic facies, retinal dystrophy, and myopathy"
C5193089,"encephalopathy, acute, infection-induced, susceptibility to, 9"
C5193092,developmental delay with variable intellectual impairment and behavioral abnormalities
C5193098,"arthrogryposis, distal, type 2b3"
C5193106,developmental delay with or without dysmorphic facies and autism
C5193107,"hearing loss, autosomal recessive 114"
C5193114,"contractures, pterygia, and variable skeletal fusions syndrome 1b"
C5193115,intellectual developmental disorder with severe speech and ambulation defects
C5193117,"brain abnormalities, neurodegeneration, and dysosteosclerosis"
C5193119,neurodevelopmental disorder with seizures and speech and walking impairment
C5193120,"generalized epilepsy with febrile seizures plus, type 10"
C5193125,"congenital hypotonia, epilepsy, developmental delay, and digital anomalies"
C5193130,noonan syndrome 11
C5193134,neurodevelopmental disorder with coarse facies and mild distal skeletal abnormalities
C5193137,"neuropathy, hereditary motor and sensory, type vic, with optic atrophy"
C5193138,o'donnell-luria-rodan syndrome
C5193140,intellectual developmental disorder 59
C5193146,shukla-vernon syndrome
C5203300,"hypopigmentation, organomegaly, and delayed myelination and development"
C5203349,"myopathy, distal, 6, adult-onset, autosomal dominant"
C5229849,blepharophimosis-impaired intellectual development syndrome
C5231390,sitosterolemia 1
C5231400,intellectual developmental disorder 61
C5231404,neurodevelopmental disorder with visual defects and brain anomalies
C5231408,"night blindness, congenital stationary, type1i"
C5231411,"microangiopathy and leukoencephalopathy, pontine, autosomal dominant"
C5231416,neurodevelopmental disorder with structural brain anomalies and dysmorphic facies
C5231422,"spastic tetraplegia and axial hypotonia, progressive"
C5231423,neurodevelopmental disorder with hypotonia and variable intellectual and behavioral abnormalities
C5231424,snijders blok-fisher syndrome
C5231429,weiss-kruszka syndrome
C5231430,abdominal obesity-metabolic syndrome 4
C5231438,spermatogenic failure 39
C5231443,neurooculocardiogenitourinary syndrome
C5231444,intellectual developmental disorder with impaired language and dysmorphic facies
C5231445,"myopathy, congenital, with structured cores and z-line abnormalities"
C5231447,zimmermann-laband syndrome 3
C5231453,sitosterolemia 2
C5231456,"intellectual developmental disorder with speech delay, autism, and dysmorphic facies"
C5231465,retinitis pigmentosa 87 with choroidal involvement
C5231470,neurodevelopmental disorder with nonspecific brain abnormalities and with or without seizures
C5231471,"neurodevelopmental disorder with hypotonia, impaired speech, and behavioral abnormalities"
C5231477,"ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies"
C5231478,"spondyloepimetaphyseal dysplasia, isidor-toutain type"
C5231480,"neurodevelopmental disorder with microcephaly, cortical malformations, and spasticity"
C5231482,poirier-bienvenu neurodevelopmental syndrome
C5231483,neuromuscular disease and ocular or auditory anomalies with or without seizures
C5231485,structural brain anomalies with impaired intellectual development and craniosynostosis
C5231489,intellectual developmental disorder with hypotonia and behavioral abnormalities
C5231492,catifa syndrome
C5231495,"corneal dystrophy, meesmann, 2"
C5231497,intellectual developmental disorder 60 with seizures
C5231558,"hypoalphalipoproteinemia, primary, 1"
Cumapped161,neurodevelopmental disorder with or without variable brain abnormalities; nedba
CL1371027,"hydatidiform mole, recurrent, 3"
CL1371083,"infantile cataract, skin abnormalities, glutamate excess, and impaired intellectual development"
Cumapped126,menke-hennekam syndrome
CL1371263,"contractures, pterygia, and spondylocarpotarsal fusion syndrome 1a"
CL1378174,autosomal dominant robinow syndrome 1
CL1379197,generalized non-motor (absence) seizure
CL1379414,acid sphingomyelinase deficiency
Cumapped279,siddiqi syndrome
CL1405568,spinocerebellar ataxia type 42
Cumapped214,predisposition to cancer
CL1449600,progressive demyelinating neuropathy with bilateral striatal necrosis
CL1634609,childhood onset glut1 deficiency syndrome 2
CL1638038,laminopathy
Cumapped281,silver-russell syndrome 1
Cumapped202,permanent neonatal diabetes mellitus 1
Cumapped347,"warfarin sensitivity, x-linked"
CL1639539,"intellectual developmental disorder, x-linked, syndromic, hackmann-di donato type"
Cumapped351,"wieacker-wolff syndrome, female-restricted"
CL1639689,imagawa-matsumoto syndrome
CL1639693,long qt syndrome 16
CL1639697,intellectual developmental disorder 62
CL1639710,beck-fahrner syndrome
CL1639748,cebalid syndrome
CL1639757,"mitochondrial complex 1 deficiency, nuclear type 34"
CL1640070,hao-fountain syndrome
CL1640179,"hypoparathyroidism, familial isolated, 2"
CL1640190,"congenital disorder of glycosylation, type iit"
CL1640195,liberfarb syndrome
Cumapped288,sorbitol dehydrogenase deficiency with peripheral neuropathy
CL1640288,neurodevelopmental disorder with language impairment and behavioral abnormalities
CL1640304,alopecia-intellectual disability syndrome 4
Cumapped344,"vertebral, cardiac, renal, and limb defects syndrome 3"
CL1640327,diets-jongmans syndrome
CL1640339,"intellectual developmental disorder, autosomal dominant 63, with macrocephaly"
Cumapped251,retinitis pigmentosa 88
CL1640372,"epilepsy, early-onset, with or without developmental delay"
Cumapped283,"skeletal dysplasia, mild, with joint laxity and advanced bone age"
CL1640438,"diabetes mellitus, permanent neonatal 2"
CL1640440,anauxetic dysplasia 3
CL1640448,"diabetes mellitus, permanent neonatal 4"
CL1640455,"diabetes mellitus, permanent neonatal 3"
CL1642592,mhc class i deficiency
Cumapped236,qualitative or quantitative defects of dystrophin
Cumapped262,severe achondroplasia-developmental delay-acanthosis nigricans syndrome
Cumapped139,muscular dystrophy-dystroglycanopathy type b5
CL1649710,"renal tubular acidosis, distal, 3, with or without sensorineural hearing loss"
Cumapped244,renal cortical hyperechogenicity
CL1659296,monosomy 7 myelodysplasia and leukemia syndrome 1
CL1659564,"arthrogryposis multiplex congenita 2, neurogenic type"
CL1659615,optic atrophy 13 with retinal and foveal abnormalities
Cumapped246,"renal tubular acidosis, distal, 4, with hemolytic anemia"
CL1659887,frontotemporal dementia and/or amyotrophic lateral sclerosis 6
Cumapped238,rajab interstitial lung disease with brain calcifications 1
Cumapped162,neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities
CL1660188,"spastic paraplegia 83, autosomal recessive"
Cumapped187,oocyte maturation defect 8
Cumapped239,rajab interstitial lung disease with brain calcifications 2
CL1660254,"vitamin d-dependent rickets, type 3"
CL1660268,"mitochondrial complex 4 deficiency, nuclear type 18"
CL1660281,"mitochondrial complex 4 deficiency, nuclear type 12"
CL1660285,neurodevelopmental disorder with speech impairment and dysmorphic facies
CL1660309,"mitochondrial complex 4 deficiency, nuclear type 3"
CL1660316,"mitochondrial complex 4 deficiency, nuclear type 4"
CL1660432,cystic leukoencephalopathy
CL1660449,intellectual developmental disorder with seizures and language delay
CL1660456,"growth hormone insensitivity syndrome with immune dysregulation 2, autosomal dominant"
CL1660477,li-ghorbani-weisz-hubshman syndrome
Cumapped189,optic atrophy 12
CL1660493,immunodeficiency 72 with autoinflammation
CL1660504,tolchin-le caignec syndrome
Cumapped128,"mitochondrial complex ii deficiency, nuclear type 1"
CL1660719,mismatch repair cancer syndrome 2
Cumapped180,noonan syndrome 13
CL1660742,"neurodevelopmental disorder with microcephaly, impaired language, and gait abnormalities"
CL1660744,"developmental delay, impaired growth, dysmorphic facies, and axonal neuropathy"
CL1660746,"neurodevelopmental disorder with microcephaly, impaired language, epilepsy, and gait abnormalities"
CL1660774,cardioacrofacial dysplasia 1
CL1660778,lessel-kreienkamp syndrome
CL1660807,frontotemporal dementia and/or amyotrophic lateral sclerosis 8
Cumapped153,"neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities"
Cumapped51,combined osteogenesis imperfecta and ehlers-danlos syndrome 2
CL1660832,combined osteogenesis imperfecta and ehlers-danlos syndrome 1
CL1661896,hypertrophic cardiomyopathy 26
CL1662414,rasopathy
Cumapped219,primary familial polycythemia due to epo receptor mutation
Cumapped342,ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome
CL1766024,"hypercholanemia, familial 1"
CL1766455,martsolf syndrome 1
CL1766616,"leukoencephalopathy, progressive, infantile-onset, with or without deafness"
CL1766668,"microcephaly 26, primary, autosomal dominant"
Cumapped273,"short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies 2"
Cumapped186,olmsted syndrome 1
CL1766971,"cataracts, spastic paraparesis, and speech delay"
CL1767026,"angioedema, hereditary, 4"
CL1767053,hiatt-neu-cooper neurodevelopmental syndrome
CL1767066,buratti-harel syndrome
Cumapped150,neurodegeneration with ataxia and late-onset optic atrophy
Cumapped301,"spondyloepiphyseal dysplasia, sensorineural hearing loss, impaired intellectual development, and leber congenital amaurosis"
CL1767151,glanzmann thrombasthenia 2
CL1767159,"bleeding disorder, platelet-type, 24"
CL1767195,kinsship syndrome
CL1767251,developmental delay with dysmorphic facies and dental anomalies
Cumapped215,premature ovarian failure 19
Cumapped349,whim syndrome 2
CL1767457,megacystis-microcolon-intestinal hypoperistalsis syndrome 5
CL1767520,"cardiomyopathy, dilated, 2d"
CL1774253,feingold syndrome type 1
CL1775873,microcephaly-corpus callosum hypoplasia-intellectual disability-facial dysmorphism syndrome
CL1775876,childhood-onset motor and cognitive regression syndrome with extrapyramidal movement disorder
Cumapped356,x-linked external auditory canal atresia-dilated internal auditory canal-facial dysmorphism syndrome
CL1776131,severe growth deficiency-strabismus-extensive dermal melanocytosis-intellectual disability syndrome
CL1776132,autosomal recessive spastic paraplegia type 76
Cumapped80,global developmental delay-neuro-ophthalmological abnormalities-seizures-intellectual disability syndrome
CL1776140,microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome
Cumapped66,early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome
Cumapped243,recurrent metabolic encephalomyopathic crises-rhabdomyolysis-cardiac arrhythmia-intellectual disability syndrome
CL1776279,lethal left ventricular non-compaction-seizures-hypotonia-cataract-developmental delay syndrome
CL1776434,combined oxidative phosphorylation defect type 23
CL1776850,benta disease
CL1776892,combined immunodeficiency due to moesin deficiency
CL1776894,combined immunodeficiency due to gins1 deficiency
Cumapped145,neonatal encephalomyopathy-cardiomyopathy-respiratory distress syndrome
CL1777523,complex neurodevelopmental disorder
Cumapped331,tubulinopathy
CL1777573,tubulinopathy-associated dysgyria
Cumapped109,intellectual disability-epilepsy-extrapyramidal syndrome
CL1777608,micrognathia-recurrent infections-behavioral abnormalities-mild intellectual disability syndrome
CL1777696,short stature-brachydactyly-obesity-global developmental delay syndrome
Cumapped293,spastic paraplegia-severe developmental delay-epilepsy syndrome
CL1777783,autosomal recessive complex spastic paraplegia type 9b
CL1779844,kars-related disorders
Cumapped172,neuroocular syndrome
Cumapped154,neurodevelopmental disorder with dysmorphic facies and thin corpus callosum
CL1783706,boudin-mortier syndrome
CL1783720,"congenital disorder of glycosylation, type iiw"
Cumapped210,"pontocerebellar hypoplasia, type 16"
CL1783725,"epidermolysis bullosa simplex 2b, generalized intermediate"
CL1783729,"fetal akinesia, respiratory insufficiency, microcephaly, polymicrogyria, and dysmorphic facies"
